Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
32,11th week,Maharashtra,Akola,Chikungunya,9,,12,3,2022,20.76181225,77.19211567,0.01140150866,5.0,311.4666666
128,22nd week,Karnataka,Vijayapura,Chikungunya,13,,1,6,2022,16.666667,75.916667,0.00807218942,,312.47200000000004
137,22nd week,Maharashtra,Satara,Chikungunya,5,,31,5,2022,17.63612885,74.29827808,0.005179040241,5.0,315.36400000000003
160,23rd week,Maharashtra,Satara,Chikungunya,5,,3,6,2022,17.63612885,74.29827808,0.0292018731,5.0,311.508
170,23rd week,Maharashtra,Jalgaon,Chikungunya,9,,23,5,2022,20.84288265,75.52612464,0.0002075557817,3.0,315.88
180,24th week,Karnataka,Vijayapura,Chikungunya,16,,12,6,2022,16.666667,75.916667,0.1594723727,4.0,306.66400000000004
192,3rd week,Karnataka,Bagalkot,Chikungunya,18,,17,1,2021,16.1853166,75.6967919,5.22e-05,,304.2133334
203,5th week,Karnataka,Chamarajanagar,Chikungunya,15,,2,1,2021,11.9346006,76.9328209,0.2146496303,16.0,302.82
207,5th week,Maharashtra,Satara,Chikungunya,20,,25,1,2021,17.63612885,74.29827808,8.27e-06,,306.4833334
211,5th week,Odisha,Bolangir,Chikungunya,5,,30,1,2021,20.7502257,83.2499464,0.008809665092,9.0,302.44
216,6th week,Maharashtra,Satara,Chikungunya,19,,5,2,2021,17.63612885,74.29827808,7.82e-05,7.0,305.836
217,6th week,Maharashtra,Thane,Chikungunya,2,,30,1,2021,19.1943294,72.9701779,3.79e-05,10.0,304.7766666
219,7th week,Karnataka,Bidar,Chikungunya,30,,20,2,2021,18.083333,77.333333,0.02307911892,4.0,308.84000000000003
262,16th week,Maharashtra,Ahmednagar,Chikungunya,3,1.0,23,3,2021,19.1627725,74.8580243,0.04168389914,6.0,309.66
263,16th week,Maharashtra,Ahmednagar,Chikungunya,13,,4,4,2021,19.1627725,74.8580243,7.99e-05,6.0,316.252
271,20th week,Maharashtra,Nashik,Chikungunya,6,,19,5,2021,20.0112475,73.7902364,0.2612602835,7.0,312.09000000000003
274,20th week,Maharashtra,Nashik,Chikungunya,11,,18,3,2021,20.0112475,73.7902364,5.56e-05,7.0,310.6566666
275,20th week,Maharashtra,Pune,Chikungunya,25,,8,2,2021,18.521428,73.8544541,9.5e-05,9.0,305.296
281,22nd week,Maharashtra,Pune,Chikungunya,6,,1,6,2021,18.521428,73.8544541,0.3985516351,,309.332
290,23rd week,Kerala,Trivandrum,Chikungunya,10,,14,5,2021,8.4882267,76.947551,1.219771472,9.0,300.26
303,25th week,Kerala,Thiruvananthapuram,Chikungunya,16,,15,6,2021,8.4882267,76.947551,0.7189253545,23.0,299.4133334
322,27th week,Maharashtra,Ahmednagar,Chikungunya,11,,7,7,2021,19.1627725,74.8580243,0.01744418547,9.0,306.51
350,30th week,Maharashtra,Nasik,Chikungunya,53,,18,6,2021,20.0112475,73.7902364,0.2630178863,,304.28000000000003
352,30th week,Maharashtra,Pune,Chikungunya,5,,22,7,2021,18.521428,73.8544541,1.56877296,5.0,300.22
359,31st week,Maharashtra,Beed,Chikungunya,7,,2,8,2021,18.9918442,75.909784,0.07704263847,6.0,306.24
361,31st week,Maharashtra,Kolhapur,Chikungunya,6,,2,8,2021,16.7028412,74.2405329,0.2327067055,9.0,298.7066666
366,31st week,Maharashtra,Satara,Chikungunya,20,,14,7,2021,17.63612885,74.29827808,1.242829167,5.0,303.64
371,32nd week,Maharashtra,Thane,Chikungunya,6,,13,8,2021,19.1943294,72.9701779,0.2987806702,,297.72
383,34th week,Karnataka,Kalburgi,Chikungunya,46,,22,8,2021,17.166667,77.083333,0.5430774122,7.0,
388,34th week,Maharashtra,Pune,Chikungunya,7,,13,8,2021,18.521428,73.8544541,0.2316700784,,298.24
402,35th week,Maharashtra,Pune,Chikungunya,42,,7,6,2021,18.521428,73.8544541,1.023137245,8.0,304.635
418,37th week,Karnataka,Tumkur,Chikungunya,63,,18,8,2021,13.3400771,77.1006208,0.4009891219,6.0,
429,39th week,Maharashtra,Osmanabad,Chikungunya,15,,18,9,2021,18.16984395,76.11796321,0.2647567631,10.0,298.6666666
447,40th week,Maharashtra,Beed,Dengue Chikungunya,19,,3,10,2021,18.9918442,75.909784,0.9033264022,14.0,301.90000000000003
457,40th week,Maharashtra,Osmanabad,Chikungunya,5,1.0,29,9,2021,18.16984395,76.11796321,1.49759568,,302.43
508,45th week,Maharashtra,Satara,Chikungunya,5,,7,11,2021,17.63612885,74.29827808,0.1401112338,8.0,305.5133334
522,47th week,Maharashtra,Nanded,Chikungunya,9,,23,11,2021,19.09400875,77.48319215,0.07439863145,7.0,301.1533334
538,49th week,Maharashtra,Akola,Chikungunya,10,,7,12,2021,20.76181225,77.19211567,0.05797235484,17.0,302.7933334
548,50th week,Maharashtra,Kolhapur,Chikungunya,6,,17,12,2021,16.7028412,74.2405329,0.004814798227,10.0,300.51
550,50th week,Maharashtra,Satara,Chikungunya,18,,15,8,2021,17.63612885,74.29827808,0.1265490177,7.0,305.96
557,1st week,Karnataka,Uttara Kannada,Chikungunya,14,,30,12,2019,14.72447415,74.64223734,0.03427887668,37.0,301.376
559,2nd week,Karnataka,Bagalkot,Chikungunya,33,,24,1,2019,16.1853166,75.6967919,9.99e-05,,308.1733334
560,3rd week,Maharashtra,Kolhapur,Chikungunya,11,,16,1,2020,16.7028412,74.2405329,0.007402090725,,303.05666659999997
574,5th week,Maharashtra,Kolhapur,Chikungunya,2,,29,1,2020,16.7028412,74.2405329,4.58e-05,7.0,306.268
596,9th week,Karnataka,Raichur,Chikungunya,6,,24,2,2020,16.083333,77.166667,5.82e-05,7.0,310.66400000000004
616,18th week,Karnataka,Hassan,Chikungunya,17,,25,4,2020,13.0070817,76.0992703,0.08969011065,8.0,310.248
631,23rd week,Tamil Nadu,Tenkasi (Tirunelveli),Chikungunya,25,,5,6,2020,8.9707606,77.3036864,0.9300106017,9.0,304.92
634,24th week,Tamil Nadu,Tirunelveli,Chikungunya,4,,8,6,2020,8.7284271,77.7112925,0.1544300263,,312.72
651,34th week,Karnataka,Tumkur,Chikungunya,31,,10,8,2020,13.3400771,77.1006208,0.8928106134,3.0,
668,45th week,Maharashtra,Kolhapur,Chikungunya,11,,20,7,2020,16.7028412,74.2405329,1.439750798,4.0,301.88
671,46th week,Karnataka,Chikkaballapura,Chikungunya,15,,12,11,2020,13.4358702,77.7312434,0.07124832105,13.0,300.085
675,46th week,Maharashtra,Ahmednagar,Chikungunya,40,,3,11,2020,19.1627725,74.8580243,0.0004237234006,13.0,303.2966666
676,46th week,Maharashtra,Ahmednagar,Chikungunya,25,,3,11,2020,19.1627725,74.8580243,0.0004237234006,13.0,303.2966666
677,48th week,Karnataka,Tumkur,Chikungunya,30,,22,11,2020,13.3400771,77.1006208,0.1394223998,12.0,300.065
680,48th week,Maharashtra,Nashik,Chikungunya,32,,6,11,2020,20.0112475,73.7902364,0.004162033368,16.0,303.99666659999997
682,48th week,Maharashtra,Osmanabad,Dengue And Chikungunya,7,,31,10,2020,18.16984395,76.11796321,0.007537283688,,304.896
684,48th week,Maharashtra,Pune,Chikungunya,7,,27,10,2020,18.521428,73.8544541,0.4427031901,21.0,301.58
686,48th week,Maharashtra,Satara,Chikungunya,5,,9,11,2020,17.63612885,74.29827808,0.0002154749944,9.0,304.81333340000003
690,49th week,Maharashtra,Satara,Chikungunya,7,,24,11,2020,17.63612885,74.29827808,0.02053397169,,305.18
693,50th week,Maharashtra,Nashik,Chikungunya,8,,4,12,2020,20.0112475,73.7902364,0.0008915244476,10.0,303.74
696,51st week,Kerala,Trivandrum,Chikungunya,11,,6,12,2020,8.4882267,76.947551,0.473091389,31.0,300.76
697,52nd week,Maharashtra,Ahmednagar,Chikungunya,14,,18,12,2020,19.1627725,74.8580243,0.08753196133,,301.796
698,52nd week,Maharashtra,Nashik,Chikungunya,9,,18,12,2020,20.0112475,73.7902364,0.09058216069,,300.41
707,53rd week,Maharashtra,Beed,Chikungunya,10,,16,10,2020,18.9918442,75.909784,1.976420015,13.0,299.16
708,53rd week,Maharashtra,Beed,Chikungunya,15,,16,9,2020,18.9918442,75.909784,0.6345256477,12.0,304.54
715,1st week,Tamil Nadu,Dharmapuri,Dengue And Chikungunya,11,,4,1,2019,12.09680475,78.19304301,0.02921215626,8.0,303.125
718,1st week,Karnataka,Davangere,Chikungunya,32,,20,12,2018,14.4679807,75.9195682,0.0003752598041,7.0,302.25
726,2nd week,Tamil Nadu,Salem,Chikungunya,83,,3,1,2019,11.0600516,77.0679581,0.07573510553,7.0,301.56
740,5th week,Karnataka,Tumkur,Chikungunya,137,,24,1,2019,13.3400771,77.1006208,8.61e-05,,305.3433334
744,6th week,Tamil Nadu,Pudukottai,Chikungunya,25,,5,2,2019,10.3826515,78.8191259,0.02520112055,8.0,304.52500000000003
745,6th week,Tamil Nadu,Ramanathapuram,Chikungunya,21,,5,2,2019,9.3895523,78.85907072,,7.0,306.29
755,8th week,Tamil Nadu,Karur,Chikungunya,12,,23,2,2019,10.9301522,78.08485455,0.006853667065,5.0,311.98400000000004
757,8th week,Tamil Nadu,Ariyalur,Chikungunya,15,,18,2,2019,11.07603595,79.11745538,0.01820628309,,307.656
758,8th week,Tamil Nadu,Erode,Chikungunya,22,,17,2,2019,11.3692044,77.67662687,0.004181771232,,309.376
765,10th week,Tamil Nadu,Ramanathapuram,Chikungunya,19,,5,3,2019,9.3895523,78.85907072,,,308.60400000000004
766,10th week,Tamil Nadu,Erode,Chikungunya,31,,3,3,2019,11.3692044,77.67662687,0.02002703379,5.0,311.68
769,11th week,Karnataka,Hassan,Chikungunya,15,,16,3,2019,13.0070817,76.0992703,0.003303466915,7.0,311.428
770,11th week,Karnataka,Tumkur,Chikungunya,49,,11,3,2019,13.3400771,77.1006208,0.0002054410762,6.0,312.9366666
771,11th week,Karnataka,Yadgiri,Chikungunya,20,,14,3,2019,16.7469536,77.1327594,0.0001087863941,,316.9133334
776,12th week,Tamil Nadu,Ramanathapuram,Chikungunya,25,,18,3,2019,9.3895523,78.85907072,,6.0,310.86
777,12th week,Tamil Nadu,Trichy,Chikungunya,23,,12,3,2019,10.7992254,78.6811423,0.006489457821,6.0,312.632
778,13th week,Jharkhand,Khunti,Chikungunya,23,,25,3,2019,23.10018105,85.34545936,0.01662686566,9.0,304.47
781,13th week,Tamil Nadu,Madurai,Chikungunya,39,,27,3,2019,9.9261153,78.1140983,0.006165418869,5.0,316.66400000000004
784,14th week,Karnataka,Dharwad,Chikungunya,20,,1,4,2019,15.4540505,75.0066516,0.06617019652,4.0,318.404
785,14th week,Puducherry,Puducherry,Chikungunya,7,,1,4,2019,11.9340568,79.8306447,0.0008623288635,8.0,312.7
789,14th week,Telangana,Mahabubnagar,Chikungunya,46,,30,3,2019,16.69656855,77.95911462,0.000115105571,,318.008
