state,district,n_rows,n_labeled,n_pos,labeled_pct,pos_rate_pct
Karnataka,Tumkur,49,39,23,79.59,58.97
Maharashtra,Satara,23,13,1,56.52,7.69
Maharashtra,Nashik,20,10,4,50.0,40.0
Maharashtra,Ahmednagar,19,9,2,47.37,22.22
Tamil Nadu,Ramanathapuram,17,7,2,41.18,28.57
Tamil Nadu,Dindigul,16,6,3,37.5,50.0
Karnataka,Dharwad,15,5,0,33.33,0.0
Tamil Nadu,Salem,15,5,3,33.33,60.0
Tamil Nadu,Madurai,14,4,2,28.57,50.0
Maharashtra,Pune,13,3,3,23.08,100.0
Maharashtra,Beed,16,0,0,0.0,
Telangana,Mahabubnagar,16,0,0,0.0,
Madhya Pradesh,Khargone,10,0,0,0.0,
Maharashtra,Sangli,10,0,0,0.0,
Karnataka,Gadag,9,0,0,0.0,
Tamil Nadu,Virudhunagar,9,0,0,0.0,
Karnataka,Kalaburagi,8,0,0,0.0,
Madhya Pradesh,Bhind,8,0,0,0.0,
Madhya Pradesh,Sehore,8,0,0,0.0,
Maharashtra,Kolhapur,8,0,0,0.0,
Maharashtra,Osmanabad,8,0,0,0.0,
Tamil Nadu,Theni,8,0,0,0.0,
Tamil Nadu,Vellore,8,0,0,0.0,
Karnataka,Bagalkot,7,0,0,0.0,
Karnataka,Bidar,7,0,0,0.0,
Karnataka,Bijapur,7,0,0,0.0,
Karnataka,Hassan,7,0,0,0.0,
Tamil Nadu,Karur,7,0,0,0.0,
Tamil Nadu,Tiruchirappalli,7,0,0,0.0,
Tamil Nadu,Tiruvannamalai,7,0,0,0.0,
West Bengal,Jalpaiguri,7,0,0,0.0,
Jharkhand,East Singhbhum,6,0,0,0.0,
Karnataka,Belgaum,6,0,0,0.0,
Karnataka,Chikkaballapur,6,0,0,0.0,
Karnataka,Chikkaballapura,6,0,0,0.0,
Karnataka,Kolar,6,0,0,0.0,
Karnataka,Raichur,6,0,0,0.0,
Karnataka,Shimoga,6,0,0,0.0,
Madhya Pradesh,Khandwa,6,0,0,0.0,
Tamil Nadu,Perambalur,6,0,0,0.0,
Tamil Nadu,Tiruchirapalli,6,0,0,0.0,
Karnataka,Ballari,5,0,0,0.0,
Karnataka,Chamarajanagar,5,0,0,0.0,
Karnataka,Ramanagara,5,0,0,0.0,
Tamil Nadu,Sivaganga,5,0,0,0.0,
Tamil Nadu,Tirunelveli,5,0,0,0.0,
West Bengal,Howrah,5,0,0,0.0,
Arunachal Pradesh,East Siang,4,0,0,0.0,
Gujarat,Kheda,4,0,0,0.0,
Gujarat,Panchmahal,4,0,0,0.0,
Karnataka,Davangere,4,0,0,0.0,
Karnataka,Yadgiri,4,0,0,0.0,
Maharashtra,Akola,4,0,0,0.0,
Tamil Nadu,Dharmapuri,4,0,0,0.0,
Tamil Nadu,Erode,4,0,0,0.0,
Tamil Nadu,Namakkal,4,0,0,0.0,
Tamil Nadu,Trichy,4,0,0,0.0,
West Bengal,Nadia,4,0,0,0.0,
Andhra Pradesh,Visakhapatnam,3,0,0,0.0,
Gujarat,Junagadh,3,0,0,0.0,
Gujarat,Mahesana,3,0,0,0.0,
